,0,1,2,3,4,5,6,7,8,9
Average Travel Time,494.186428038777,486.734921816828,509.72367438386857,462.99554234769687,509.9775952203137,487.10201042442293,511.10845175766644,486.0817843866171,486.469052945563,509.28795811518324
Average Waiting Time,179.66008677405935,172.2408149533565,194.2119549688536,149.50045544984158,194.47775543662718,172.6105461580326,194.6199065072697,172.5720771756018,171.9781241241946,194.78109135864432
