Scenario,Average Travel Time,Average Waiting Time
0,315.0,0.0
1,315.0,0.0
2,315.0,0.0
3,315.0,0.0
4,347.74350007666715,32.83954016510475
5,391.24917503937957,76.44537955176915
6,494.3667419436936,179.66528129064812
7,652.6072494061891,338.4082268335927
8,1041.2138327419757,725.9168629866571
