,0,1,2,3,4,5,6,7,8,9
Average Travel Time,503.7393002353948,473.6630157379838,530.1445247657296,490.8362114913122,534.3349261744967,511.08102185879966,560.1420534458509,508.77994979437057,536.7873575575145,520.7374023750937
Average Waiting Time,153.91376060254044,122.26993952897159,178.91690834817462,141.30957633067717,183.29387054341163,159.34406195216945,212.28894392873434,159.2004999684862,186.47839785718588,170.34474393949327
