,0,1,2,3,4,5,6,7,8,9
Average Travel Time,918.7350074532737,902.0213312040153,895.6579143069619,929.2373366949347,863.4089128583594,864.2162238873751,836.3913976066832,865.3721789551475,854.6122391107078,975.5450080887451
Average Waiting Time,577.4311435907889,559.1077411213128,554.5962281410098,586.7845336121733,516.9593223852029,522.4553079275058,490.94022804383536,521.6272037044683,510.65403283478634,632.139127464766
