,0,1,2,3,4,5,6,7,8,9
Average Travel Time,354.04548302872064,354.1587442540744,351.5907311726945,363.86134783290635,354.71999582550615,356.54227557411275,357.67619993725816,352.69720658745047,358.67220828105394,352.4514297619668
Average Waiting Time,2.0594223110769097,2.054163529904336,0.0,9.285796375607928,2.152604756326335,2.1345992181063163,5.429290788986448,0.0,5.186299141209503,0.0
