road,id,model_type,condition,name,lat,lon,length
N1,1000350,bridge,B,SONAGATI BOX CULVERT,23.2443915125925,91.3114032292592,2.5
N1,1000352,bridge,B,BALUJURI BOX CULVERT,23.2429040619631,91.3119739539877,19.2
N1,1000359,bridge,B,KALIA BAZER BOC CULVERT,23.2289195919642,91.3134220678571,3.1
N1,1000361,bridge,B,CHAUDDAGARAM BOX CULVERT,23.2259184472573,91.3135697177215,2.6
N1,1000367,bridge,B,HAYDAR POLE BOX CULVERT,23.2131955721448,91.3153497403899,14.3
N1,1000376,bridge,C,BOSONTA PUR BOX CULVERT,23.1874350254302,91.3209051317399,6.1
N1,1000380,bridge,B,BASHONTA PUR (2),23.1817958149837,91.3208787514658,9.5
N1,1000383,bridge,B,NANKORA BOX CULVERT,23.1726272318681,91.3205774642857,3.1
N1,1000385,link,,Bridge end,23.1680549,91.3213604,13.999999999995794
N1,1000390,bridge,B,DIMATOLI (1) BOX CULVERT,23.1527364949367,91.3243178772152,6.3
N1,1000394,bridge,B,DIMATOLY (2) BOX CULVERT,23.1436667679334,91.3266680470308,3.5
N1,1000396,bridge,B,JAGARNATHPUR BOX CULVERT,23.1389893200345,91.3263585348877,6.1
N1,1000399,bridge,B,JAGOT PUR BOX CULVERT,23.1332639685968,91.327546416481,3.0
N1,1000405,bridge,B,FOKIR BAZAR SLAB CULVERT,23.1196973774193,91.3328165129032,4.5
N1,1000408,bridge,B,KAKKARA CULVERT,23.1158251554,91.335094485,5.3
N1,1000409,link,,Km post missing,23.1113611,91.3378052,1000.0
N1,1000410,link,,Box culvert,23.1108056,91.3381386,75.00000000001705
N1,1000414,bridge,B,CHANGARPULL(II) BOX CULVERT,23.1017563206521,91.343162998913,3.1
N1,1000416,bridge,B,ADONCORA,23.0973512527272,91.3454956309091,9.5
N1,1000422,bridge,B,FOEALTPARA BOX CULVERT,23.0870753710144,91.3512101492753,9.25
N1,1000428,bridge,B,KOKALI BOX CULVERT,23.0779647046997,91.3566005031331,14.2
N1,1000429,link,,Box culvert,23.0732493,91.3594167,765.9999999999911
N1,1000431,bridge,B,DUTHOSHA BOX CULVERT,23.070198184,91.3603022,6.1
N1,321,intersection,,Road to Karerhat (Z1031),23.0614722,91.3616667,1.0
N1,1000436,bridge,B,MOHAMMAD ALI MAZAR,23.0607473333333,91.3618624619047,4.0
N1,323,intersection,,Z1031,23.0479719,91.3651667,1.0
